artifact,experiment,book,model,env_tag,host,backend,ctx,parallel,kv,arm,n,correct,accuracy_pct,validation,dirty,commit,elapsed_s,finished,endpoint
batch_size__mushoku16__qwen__qwen3-14b__thunder-a6000.json,batch_size,mushoku16,qwen/qwen3-14b,cloud-a6000-LM,instance-lho3lk5l-main,LM Studio loopback,16384,1,,b10,139,53,38.1,ok,False,,1396.6,07-28 11:25,http://localhost:1234/v1
batch_size__mushoku16__qwen__qwen3-14b__thunder-a6000.json,batch_size,mushoku16,qwen/qwen3-14b,cloud-a6000-LM,instance-lho3lk5l-main,LM Studio loopback,16384,1,,b25,139,65,46.8,ok,False,,1396.6,07-28 11:25,http://localhost:1234/v1
batch_size__owarimonogatari3__qwen__qwen3-14b__local-llamacpp-rep1.json,batch_size,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b25,162,66,40.7,ok,True,fe025a5f,8526.1,07-30 02:13,http://127.0.0.1:8090/v1
batch_size__owarimonogatari3__qwen__qwen3-14b__local-llamacpp-rep1.json,batch_size,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b50,162,77,47.5,ok,True,fe025a5f,8526.1,07-30 02:13,http://127.0.0.1:8090/v1
batch_size__owarimonogatari3__qwen__qwen3-14b__local-llamacpp-rep1.json,batch_size,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b100,162,75,46.3,ok,True,fe025a5f,8526.1,07-30 02:13,http://127.0.0.1:8090/v1
batch_size__owarimonogatari3__qwen__qwen3-14b__local-llamacpp-rep2.json,batch_size,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b25,162,66,40.7,ok,True,fe025a5f,8230.1,07-30 04:30,http://127.0.0.1:8090/v1
batch_size__owarimonogatari3__qwen__qwen3-14b__local-llamacpp-rep2.json,batch_size,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b50,162,77,47.5,ok,True,fe025a5f,8230.1,07-30 04:30,http://127.0.0.1:8090/v1
batch_size__owarimonogatari3__qwen__qwen3-14b__local-llamacpp-rep2.json,batch_size,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b100,162,75,46.3,ok,True,fe025a5f,8230.1,07-30 04:30,http://127.0.0.1:8090/v1
batch_size__owarimonogatari3__qwen__qwen3-14b__local-llamacpp.json,batch_size,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b5,162,43,26.5,ok,False,04a69e4c,2716.3,07-28 21:35,http://127.0.0.1:8090/v1
batch_size__owarimonogatari3__qwen__qwen3-14b__local-llamacpp.json,batch_size,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b10,162,59,36.4,ok,False,04a69e4c,2716.3,07-28 21:35,http://127.0.0.1:8090/v1
batch_size__owarimonogatari3__qwen__qwen3-14b__local-llamacpp.json,batch_size,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b25,162,64,39.5,ok,False,04a69e4c,2716.3,07-28 21:35,http://127.0.0.1:8090/v1
batch_size__owarimonogatari3__qwen__qwen3-14b__local-llamacpp.json,batch_size,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b50,162,75,46.3,ok,False,04a69e4c,2716.3,07-28 21:35,http://127.0.0.1:8090/v1
because_production__grimgar03__qwen__qwen3-14b__local.json,because_production,grimgar03,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,baseline,400,222,55.5,ok,False,49cb52a6,4766.2,07-27 13:17,http://localhost:1234/v1
because_production__grimgar03__qwen__qwen3-14b__local.json,because_production,grimgar03,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,thinking,400,255,63.7,ok,False,49cb52a6,4766.2,07-27 13:17,http://localhost:1234/v1
because_production__mushoku16__qwen__qwen3-14b__local.json,because_production,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,baseline,139,69,49.6,ok,False,f4d2692f,2668.6,07-27 16:55,http://localhost:1234/v1
because_production__mushoku16__qwen__qwen3-14b__local.json,because_production,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,thinking,139,73,52.5,ok,False,f4d2692f,2668.6,07-27 16:55,http://localhost:1234/v1
because_production__qwen__qwen3-14b.json,because_production,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,baseline,139,69,49.6,ok,True,2ce90a96,4564.3,07-27 06:04,http://localhost:1234/v1
because_production__qwen__qwen3-14b.json,because_production,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,because,139,59,42.4,ok,True,2ce90a96,4564.3,07-27 06:04,http://localhost:1234/v1
because_production__qwen__qwen3-14b.json,because_production,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,scaffold_thinking,139,60,43.2,ok,True,2ce90a96,4564.3,07-27 06:04,http://localhost:1234/v1
booknlp_baseline__pdnc_prideandprejudice.json,booknlp_baseline,?,booknlp-big,local-lmstudio,,lmstudio,,,f16?,booknlp,1226,665,54.2,None,,,,,
candidate_id__qwen__qwen3-14b.json,candidate_id,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,name,147,72,49.0,ok,False,53299de7,68.3,07-26 15:39,http://localhost:1234/v1
